,,
英文关键词,成品效果样板图,备注
"Through high definition CG, black big lotus in light red fire, Lightning,Light Effects, 8K, Ultra HD, Blizzard style art trends,Luminous fog luminous ，volume lightVolumetric light --ar 9:16",,
"Through high-definition CG, purple lotus, light purple flame, lightning, lighting effect, 8K, ultra-high definition, blizzard style art trend, luminous fog luminescence, volume lightVolumetric light --ar 9:16",,
"A green lotus flame , with a huge green lotus on it , diamond starlight on it , and a huge golden Chinese angel dragon flame propagation lamp below , HD --ar 9:16",,
"Through high-definition CG, black lotus blooms on lightning, golden lightning, light effect, 8K, ultra-high-definition, blizzard-style art trend, luminous fog and luminous volume lighting,Volumetric light --ar 9:16 --test --creative --upbeta",,
"Nature photography, sunrise, lake with water and ice and snow, rocky shoreline with some snow, large pine trees, craggy snow covered mountain range in the distance, photograph, cinematic lighting --ar 2:3 --testp --creative --no signature ",,
"There is a kind of rose, which is light blue. Petals as deep as sea water, crystal clear as dew. There are many green leaves on the flower branches, and many crystal white roses. It can feel the loyalty and purity of love, high-definition, high-quality, realistic photos, high details, 8k. --ar 9:16",,其他颜色玫瑰自己可以改关键词颜色
"The sky is full of orange flaming clouds. The reflection is in the lake. There are trees on both sides of the lake shore. Super wide-angle reflection, reflection, physical light,8k high detail, high-definition pictures --ar 9:16",,
"This is surreal and sophisticated CG rendering. At night, the light blue sky is covered with the great waterfall on the golden river, purple heart-shaped crystal, luminous path, rose moon, starlight, art, HD, starry sky, many small and colorful luminous particles, composed of the Milky way, the north pole, tundra and iceberg, fantasy, high detail, beauty, 8K, octane lamp and shadow, complex detail, ultra wide angle, panoramic shooting, 8K. High definition. Landscape photography by Marc ADAMUS, real photo volume light, 8Kv volume light HD, --ar 9:16",,
"At night, a fantastic rainbow covers the beach, on the beach there are many colorful roses and glowing crystal pebbles, fantasy, cinematic epic effects, refinement,ultra-wide field of view, CG rendering, detail, HD, realism, 3D, ultra-detail, realism, 8K, masterpiece, functional art,ultra-wide angle --ar 9:16",,
"Through high definition CG, Lycoris recoil, Japanese animation, multiple exposure, Starscream Chrysanthemum,Ultra HD, petal crystal clear, dewdrop crystal clear , hyper-detail, long exposure, dramatic light, 8K ,HD --ar 9:16",,
"This is a surreal and complex CG rendering. At night, the light blue sky as transparent as a mirror, crescent water, moonlight, starlight, trees, shining Milky Way, art, HD, starry sky, glaciers, many huge blue rose glacier, surreal blue rose, and many small and colorful luminous particles, dream, HD complex details, beauty, 4K, aurora, octane light and shadows, complex details, ultra wide angle, panoramic photography. Virtual engine, volume lights, reflected light, light effects.three-dimensional.16KHD --ar 9:16",,
"There is a kind of rose. It is yellow. The petals are as deep as sea water and crystal clear as dew. There are many green leaves on the flower branches, as well as many crystal clear white roses. It can feel the loyalty and purity of love, high-definition, high-quality, realistic photos, high details, HD --ar 9:16",,
"a lake at night surrounded by the woods, galaxies in the sky reflecting in the water, unreal engine, ultra realistic, intricately detailed, colorful --ar 9:16",,
"This beautiful tree branch , mild fog, with white and fuchsia flowers, plum blossoms, mountain valley,high definition, dream fairy kingdom HD --ar 9:16",,
"The red sky is like a flame with a huge shape of love. Golden rose, sparkling lake stars, sparkling, true HD, super wide-angle panorama, super HD, 8k lifelike, high pixel, cracked, Mark Addums landscape photography,HD --ar 9:16",,
"T color aurora in white snow,cars,trains,pelple,houses,villages,stalls,snow mountains,rivers and snowstorms,fireworks in the world,colouful stars twinking,illusory engines,4khigh-definition.8K,HD --ar 9:16",,
"This is a beautiful picture, depicting a tourist attraction, a white snow mountain, tourists, a light green subway, a 4K medium shot, and bright stars as charming as diamonds. The beautiful ski resort is covered with snow. Bright, lively, noisy, bright, starlight flash, 18K dream engine, HD wallpaper, new chapter rendering, night and night HD, HD hard disk ，HD --ar 9:16",,
"Rose red shore flower,Lycoris recoil, Japanese animation, multiple exposure, Starscream 8k --ar 9:16",,
"Golden dream starry sky, ice lake, real shot, crack,real, realistic, 8K, ultra wide angle, panorama, 3D,Ultra HD, high pixel,HD --ar 9:16",,
"At night, starlight shines in lake,Blue sky like angel wings, lake, real high-definition, super wide angle panorama, super high-definition, 8k lifelike, high pixel, crack,landscape photography by Marc Adamus,HD --ar 9:16",,
"This is a surreal and complex CG rendering. At night, the light blue sky as transparent as a mirror, crescent water, moonlight, starlight, trees, shining Milky Way, art, HD, starry sky, glaciers, many huge blue rose glacier, surreal blue rose, and many small and colorful luminous particles, dream, HD complex details, beauty, 4K, aurora, octane light and shadows, complex details, ultra wide angle, panoramic photography. Virtual engine, volume lights, reflected light, light effects.three-dimensional.16KHD --ar 9:16",,
"The sky, Uyuni salt marsh, and the wonders of salt tundra，light, super healing, ultra-high definition, 8k, panorama, super wide angle, live shot, real, realistic, high pixel, very beautiful, super detail, rendering, senior master filter,Thomas KincaidIvan EvazovskyAn epic CGlandscape photography by Marc AdamusHD",,
"At night, there are many shooting stars reflected in the sky on the heart-shaped ice lake, rainbow, blue, laser wings, floating luminous particles, aurora, fairy light,body light,body light,luminous creatures, stellar luminous particles, soft light, surreal, modern style, art, dream engine, ultra wide angle perspective,hin renderingHD --ar 9:16",,
"There is an ice rose, which is orange. The petals are as deep as sea water, crystal clear, crystal clear as dew. There are many green leaves on the flower branches, as well as many translucent orange roses. It can feel the loyalty and purity of love, high-definition, high-quality, realistic photos, high details, 8k, super details，HD --ar 9:16",,
"At night, the beautiful valley, the Milky Way, the moon, the golden rose streaming with stars, stars, luminous particles, meteors, magical clouds, mysterious dreams, stars falling, soft light, real picture, lucky digital rendering HD --ar            9:16",,
"Frozen, Frozen Princess back, Mirror like lake surface，crescent moon rendering, transparent moon rendering, mirror effect, high fidelity, light tone, romantic atmosphere, moon mirror rendering, Dawn in the flower sky, lighting, moon, 4K, --ar 9:16",,
"A real rose with green leaves on the branch, velvety black rose, velvety black rose with black crystal dew, light black blurred background and clear layers, octane rendering, Pixar movie 3D animation, 8k, volumetric light --ar 9:16",,
"Lycoris, Japanese animation, Multiple exposure, Blue Spider Chrysanthemum, Tokyo Forest, Ultra detail, Long exposure, Dramatic light, 8K, HD-HD --ar 9:16",,
"A ultra-realistic CG rendering of Ancient China,超高清，超现实，There is a stream, jiangnan ancient buildings on besides of thet streamin the evening,Maple with milky leaves treesnow scene, a moon in the sky,HD --ar 9:16",,
"At night, the Milky Way, starlight, and silvery new moon are sprinkled on the beach along with the Milky Way starlight. On the beach, there are pink roses, many luminous creatures, coconut trees, and the beach is the shape of love, pebbles, luminous creatures, fluorescence, gold, color, dream, super wide-angle light, unreal engine, 4K HD,HD --ar 9:16",,
"An epic CG matte painting with two wishing people, sitting on a hillside, green grass, on a summer night with light blue stars, fireflies, it was painted by fashion art station Evgeny Lushpin, very detailed, depicting details, dream, 128k resolution --ar 9:16",,
"Lycoris recoil, Japanese animation, multiple exposure, Green petals， Chrysanthemum, Tokyo Forest, hyper-detail, long exposure, dramatic light, 8K ,HD --ar 9:16",,
"HOne kind of flower is purple. Its petals are as deep as the sea, and its heart is like dew. There are many green leaves on the branches, and many sparkling Purple Button bell orchids. Compared with love, you can feel its loyalty and purity.D --ar 9:16",,
"The picture is transparent. A huge silver-white crescent moon is scattered on the beach. The Milky Way shines with many purple-blue roses. There are many purple-blue rose flowers on the beach, fantasy, highly detailed, beautiful, 8k, octane rendering, real photos, complex details, ultra-wide viewing angle, panoramic shooting, and several purple-blue roses in the foreground. Duo HD --ar 9:16",,
"This is a beautiful picture. There are many huge blue roses floating in the deep sea, moonlight, magical clouds, several pirate ships, Klein blue dream rendering, surreal, surreal, super dream, high definition, beautiful ethereal wonderland high definition --ar  9:16",,
"Blue Dream Starry Sky, Ice Lake, Real Shooting, There is a huge love shape on the ice lake, real, realistic, 8K, ultra-wide angle, panoramic, 3D, ultra HD, high pixels,  HD --ar 9:16",,
"This beautiful branch, mist, white and red flowers, plum blossom笔触,花朵高清，超高清，花瓣，在空中飞舞，海天一色 plum blossom branch, HD, dream, HD --ar 9:16",,
"Upscaling image #4 with Super wide angle view,在云上的桥,樱花,月亮,叶子，4k  --ar 9:16 ",,
"At night sky, the beach is covered with blue and green fluorescence, the huge moon, elf light, stars, facula,coconut tree， the sea with fluorescence, the shining golden beach, the starry sky with moonlight, Michael james Smith's matte painting, golden，reflection, cg rendering, volume light, space art, bioluminescence, unreal engine 5, magic of light, unreal engine rendering, super wide angle, super wide angle, high definition. --ar 9:16 ",,
"Blue ocean, blue starry sky at night, stars twinkling in the sky, white sand beach in Maldives, many pink roses of different sizes on the beach, blue roses, many tiny and colorful luminous particles illuminate the Milky Way, the Arctic, the tundra and icebergs, fantasy, high detail, beauty, 8K, octane shadow, complex details, close-up, close-up、 8k、HD  --ar  9:16  --q 2 ",,
"This is surreal and exquisite CG rendering. At night, the pale blue sky, glaciers covering the beach, purple heart-shaped stones, glowing paths, roses, the moon, starlight, art, high definition, starry sky, many tiny and colorful luminous particles, illuminated by the Milky Way, the Arctic, tundra and icebergs, fantasy, high details, beauty, 8K, octane light and shadow, complicated details, super wide angle, panoramic shooting, 8k. High definition.Volumetric light --ar 9:16 --upbeta  ",,
"This is a surreal and exquisite CG rendering. Night, the light blue of the sky, covering the beach glaciers, purple crystal heart stone, light path, feathers, moon, stars, art, high resolution, the starry sky, many small colorful light particles, is the Milky Way, the arctic, tundra and tip to illuminate, fantasy, high detail, beautiful, 8 k, tane light shadow, complex details of ultra wide Angle, panoramic camera, 8 k. High definition,HD --ar 9:16",,
"concept design, a white death rite bird with magic ghost flames in a colossal scale flying above Styx River under portal to galaxy with clear water reflections under night sky + aerial view of Roman relics and gothic cathedrals under light clouds, dynamix water waves, magic mist and haze over the river, hypermaximalist, soft lighting, low contrast + low exposure, elden ring + final fantasy, concept art, matte painting by James jean, Brian froud + ross tran + peter mohrbacher + alphonse mucha + john William Waterhouse, surreal, Greek Mythos, ethereal+ hyper realistic + epic + magic, 4k octane render, unreal engine, golden ratio, 12k, artstation trending, --ar 9:16 --test --upbeta",,
"winter fire and outdoors view of lakes and islands in snow, lean-to with a campfire and people —ar 2:3  --upbeta        --test --upbeta",,
"Lakes surrounded by woods at night, galaxies in the sky reflected in the water, golden clouds, golden sunset, illusory engines, ultra-realistic, intricate details and rich color dreams, sky covered with golden clouds, super wide-angle light, illusory engines, big moon, dreams, super wide-angle light, illusory engines, dreamy, super wide-angle light , Unreal Engine, 4K HD, , HD. --ar 9:16 --v 3",,
"Crossing HD CG, Purple Butterfly in Fire, Self-luminous Pink Broken Rose Cloud, Blue Sky Lightning, Light Effect, 8K, Ultra HD, Blizzard-style Art Trend, Luminous Fog Luminous Light, HD --ar 8:16 --testp --upbeta",,
"Silver starry sky, lake water, calm, sunset afterglow, colorful clouds, real shot, real, realistic, 8K, super wide angle, view, 3D, ultra high definition, high pixel,HD --ar 9:16",,
"This is a surreal and complex CG rendering. At night, the light blue sky as transparent as a mirror, crescent water, moonlight, starlight, trees, shining Milky Way, art, HD, starry sky, glaciers, many huge blue rose glacier, surreal blue rose, and many small and colorful luminous particles, dream, HD complex details, beauty, 4K, aurora, octane light and shadows, complex details, ultra wide angle, panoramic photography. Virtual engine, volume lights, reflected light, light effects.three-dimensional.16KHD --ar 9:16",,
"a lake at night surrounded by the woods, galaxies in the sky reflecting in the water, unreal engine, ultra realistic, intricately detailed, colorful --ar 9:16 ",,
"The picture is transparent, a large silvery white crescent is sprinkled on the sand accompanied by the Milky Way stars, there are many pink and blue roses floating on the sand, pink and blue roses floating on the sea, a beach in the shape of a heart, glowing creatures, Silver, Unreal Engine, Ultra Wide, 4K HD, HD. --ar 9:16 ",,
"Night, the Milky Way, starlight, the silvery white crescent moon is accompanied by the Milky Way starlight sprinkled on the beach, there are many glowing creatures in the beach, the beach is the shape of love, pebbles, glowing creatures, fluorescent, golden, color, dreamy, super wide-angle light , Unreal Engine, 4K HD, , HD. --ar 9:16 ",,
